400 PA5-J-Unknown-Answer.txt 6
 -136.0604  -63.0672  -63.6940   20.2362   62.0192   68.9822
  -36.90   -25.54   -22.99       -36.93   -25.56   -23.00     0.042
   11.15    23.15   -12.12        11.11    23.18   -12.15     0.062
   27.93    -6.66    17.30        27.95    -6.70    17.33     0.047
   -0.45   -12.29    21.88        -0.46   -12.14    21.86     0.144
   -8.18    14.60    10.16        -8.23    14.64    10.14     0.065
   20.81    17.85    45.58        20.96    17.96    45.56     0.186
   10.18    -7.04    53.34        10.18    -7.04    53.34     0.002
  -23.19   -30.96   -20.62       -23.19   -31.00   -20.61     0.043
   -6.57    -9.43    25.43        -6.57    -9.43    25.43     0.004
  -23.95     3.85   -11.82       -23.96     3.88   -11.80     0.036
   26.98    25.37    -2.59        26.98    25.37    -2.59     0.000
   12.93    16.69    53.93        12.92    16.68    53.98     0.045
  -22.49    -4.30   -46.14       -22.50    -4.31   -46.16     0.029
  -16.27   -13.86   -47.40       -16.27   -13.87   -47.42     0.014
   25.76    15.52    30.77        25.83    15.55    30.79     0.073
   32.79    17.27   -16.85        32.90    17.32   -16.90     0.128
   12.26   -17.91    -8.06        12.27   -17.80    -8.03     0.122
  -12.34   -12.44   -46.80       -12.36   -12.44   -46.76     0.046
   20.65    24.30   -27.75        20.67    24.32   -27.77     0.038
    1.45    -7.46    54.78         1.45    -7.46    54.85     0.065
   26.35   -10.32   -12.49        26.44   -10.45   -12.54     0.168
   15.36    25.35   -22.00        15.36    25.35   -22.00     0.003
  -10.86     5.56    27.70       -10.84     5.56    27.70     0.027
   -1.63   -11.47    25.65        -1.60   -11.67    25.68     0.204
  -17.83     6.99   -13.03       -17.86     7.09   -12.99     0.109
   17.82     9.94    53.19        17.82     9.94    53.14     0.058
   -2.73    24.32    30.87        -2.75    24.48    30.88     0.168
   15.22    29.17    -3.42        15.21    29.06    -3.40     0.111
  -23.37   -22.68   -42.67       -23.36   -22.72   -42.71     0.059
  -13.95   -22.32    -9.66       -13.94   -22.33    -9.64     0.027
   40.85     0.48     1.93        40.81     0.52     1.93     0.062
    1.60    20.91    51.41         1.62    20.86    51.40     0.056
   32.69    -7.80    12.23        32.60    -7.63    12.16     0.205
   -9.83   -15.09    -1.21        -9.82   -15.03    -1.23     0.063
   30.39    22.84    -0.38        30.44    22.91    -0.38     0.089
   19.17   -14.82     3.12        19.18   -14.86     3.16     0.058
   13.62    -6.74    42.01        13.67    -6.85    42.03     0.115
  -39.26   -18.60   -14.70       -39.33   -18.63   -14.67     0.080
   -6.96    10.01    48.06        -6.86    10.04    48.06     0.101
  -38.35   -22.89   -24.65       -38.37   -22.89   -24.65     0.023
   -3.47   -22.96   -24.65        -3.43   -22.99   -24.64     0.056
   40.75     1.75    -5.26        40.79     1.75    -5.28     0.049
   33.86    -4.83   -14.26        33.91    -4.86   -14.27     0.054
  -24.93    10.00   -17.23       -24.92     9.95   -17.24     0.048
   10.48   -15.43     3.62        10.50   -15.24     3.60     0.190
   -0.71   -13.54   -33.57        -0.72   -13.55   -33.57     0.015
   -7.01    22.74    24.59        -6.99    22.71    24.60     0.036
    0.73    22.29    46.69         0.74    22.20    46.68     0.087
  -13.29     2.57    13.17       -13.45     2.62    13.21     0.172
   -8.35    17.91    15.35        -8.31    17.88    15.37     0.051
   10.34    28.74     6.35        10.34    28.76     6.36     0.020
   22.96    -0.35   -25.30        22.94    -0.37   -25.32     0.034
   26.18   -13.88     1.76        26.19   -13.91     1.79     0.042
  -19.42    11.60   -29.88       -19.42    11.60   -29.88     0.007
   23.82     9.15    41.99        23.90     9.14    42.00     0.079
  -32.43     7.77   -16.18       -32.38     7.68   -16.22     0.111
  -33.75   -27.09   -31.64       -33.71   -27.05   -31.62     0.055
  -11.52   -27.25   -36.08       -11.53   -27.23   -36.07     0.029
  -13.27    11.27    36.48       -13.22    11.28    36.46     0.056
  -14.09     9.18   -17.52       -14.09     9.11   -17.51     0.071
   37.11    14.41    -6.09        37.14    14.42    -6.09     0.034
  -32.52   -28.78   -19.84       -32.50   -28.75   -19.84     0.038
    8.52    29.02     4.47         8.52    28.95     4.46     0.066
   21.89     1.51    42.27        21.74     1.57    42.23     0.166
  -31.22     7.24   -34.76       -31.25     7.30   -34.79     0.078
   -4.57   -24.20   -22.61        -4.49   -24.24   -22.60     0.086
  -12.09   -23.46   -11.47       -12.12   -23.44   -11.50     0.049
  -29.81     8.08   -34.33       -29.82     8.09   -34.33     0.015
   40.29     8.64     6.33        40.30     8.64     6.33     0.003
  -11.76    20.70    24.78       -11.67    20.59    24.85     0.153
    0.37    10.50   -14.40         0.37    10.48   -14.39     0.025
   13.28    20.29   -22.61        13.23    20.27   -22.60     0.057
    0.35     5.16   -20.54         0.33     5.14   -20.52     0.037
   16.64    22.92    26.56        16.62    22.85    26.54     0.076
   -0.72    25.55    15.27        -0.75    25.59    15.26     0.053
   12.66    29.14    -2.07        12.66    29.20    -2.07     0.066
   18.85    24.52   -28.02        18.86    24.54   -28.03     0.017
  -26.05   -31.30   -22.67       -26.05   -31.29   -22.67     0.002
    5.98    24.49    -2.31         5.91    24.51    -2.35     0.085
   21.58     0.13    41.09        21.54     0.15    41.07     0.056
  -17.62   -29.29   -35.38       -17.62   -29.28   -35.37     0.017
   11.38    22.04   -13.92        11.33    22.03   -13.94     0.050
   -5.61     7.05    51.36        -5.61     7.05    51.36     0.001
  -28.31   -24.32    -9.70       -28.32   -24.35    -9.67     0.038
    6.27   -11.38    19.73         6.31   -11.62    19.75     0.238
   28.83    -9.52    -7.03        28.76    -9.45    -7.02     0.104
   -4.28    17.09     5.55        -4.25    17.05     5.57     0.057
  -28.98   -19.55    -8.19       -28.98   -19.55    -8.23     0.047
   10.92    15.49   -11.08        10.93    15.49   -11.08     0.004
   22.93   -16.35    -0.47        22.94   -16.45    -0.39     0.129
   17.63    -3.86    45.13        17.57    -3.80    45.14     0.090
  -17.75     3.17    -1.57       -17.79     3.20    -1.55     0.053
   -3.04    -8.70    49.63        -2.99    -8.62    49.62     0.100
   -1.70   -13.93     8.55        -1.70   -13.92     8.55     0.005
  -32.33   -28.73   -28.68       -32.37   -28.80   -28.69     0.073
   25.10    14.80    35.07        24.99    14.76    35.05     0.122
   18.27    23.45    23.46        18.25    23.33    23.44     0.128
  -12.11     7.56    23.07       -12.09     7.56    23.07     0.015
   32.63    -0.53    19.17        32.67    -0.54    19.20     0.048
   35.55    17.66     7.84        35.61    17.71     7.84     0.082
  -36.05    -1.03   -37.97       -36.06    -1.03   -37.98     0.005
   -9.45    13.01    45.28        -9.50    12.95    45.34     0.099
   -8.24    -3.96   -44.09        -8.25    -3.93   -44.13     0.043
    2.63   -12.23    20.16         2.62   -12.16    20.15     0.065
    4.41    21.30    51.99         4.40    21.32    51.99     0.022
  -35.82   -24.92   -16.46       -35.83   -24.92   -16.46     0.006
   20.46     0.52    45.95        20.53     0.50    45.96     0.074
  -14.62    10.23   -27.74       -14.53    10.37   -27.78     0.174
   29.37     9.27    25.20        29.35     9.27    25.19     0.017
   27.54    -7.25   -19.46        27.52    -7.18   -19.42     0.082
   -0.54     0.08   -24.85        -0.53     0.09   -24.87     0.027
   29.55    -1.76    21.91        29.59    -1.77    21.95     0.049
  -31.39   -28.92   -30.74       -31.43   -28.99   -30.76     0.082
   41.59     4.77     5.30        41.58     4.77     5.29     0.013
   29.91    23.25    10.68        29.84    23.12    10.65     0.157
  -22.04    10.90   -22.43       -22.09    10.98   -22.43     0.087
   33.59    14.46   -18.79        33.44    14.40   -18.72     0.177
   10.09    14.45   -10.47        10.08    14.45   -10.48     0.013
   24.43    26.23   -11.70        24.49    26.40   -11.72     0.176
   -9.34    16.05    16.36        -9.41    16.09    16.33     0.088
   -5.80    20.24    45.55        -5.66    20.05    45.49     0.255
   -5.23   -23.91   -34.48        -5.21   -23.93   -34.48     0.030
   12.50    17.68   -13.72        12.53    17.70   -13.69     0.050
