400 PA5-J-Unknown-Output.txt 6
 -135.8716  -63.2398  -63.5148   20.4138   62.1437   68.8642
  -36.90   -25.54   -22.99       -36.93   -25.56   -22.99     0.037
   11.14    23.17   -12.13        11.11    23.19   -12.15     0.042
   27.94    -6.64    17.29        27.96    -6.69    17.32     0.065
   -0.44   -12.28    21.87        -0.45   -12.14    21.85     0.137
   -8.18    14.61    10.15        -8.23    14.65    10.13     0.061
   20.82    17.86    45.57        20.95    17.97    45.55     0.171
   10.19    -7.03    53.33        10.19    -7.04    53.34     0.014
  -23.19   -30.96   -20.62       -23.18   -31.00   -20.61     0.041
   -6.56    -9.43    25.42        -6.58    -9.43    25.42     0.014
  -23.95     3.85   -11.82       -23.97     3.88   -11.80     0.033
   26.97    25.39    -2.60        26.96    25.38    -2.60     0.007
   12.93    16.70    53.92        12.93    16.69    53.99     0.067
  -22.50    -4.30   -46.14       -22.51    -4.30   -46.16     0.019
  -16.28   -13.86   -47.41       -16.28   -13.86   -47.42     0.009
   25.76    15.54    30.76        25.82    15.56    30.78     0.070
   32.78    17.29   -16.87        32.89    17.34   -16.91     0.131
   12.26   -17.90    -8.07        12.27   -17.79    -8.04     0.115
  -12.35   -12.44   -46.80       -12.37   -12.43   -46.76     0.050
   20.64    24.31   -27.77        20.65    24.33   -27.78     0.030
    1.46    -7.45    54.77         1.46    -7.45    54.85     0.079
   26.34   -10.30   -12.50        26.45   -10.44   -12.56     0.186
   15.34    25.37   -22.01        15.35    25.34   -22.00     0.024
  -10.86     5.56    27.70       -10.85     5.56    27.70     0.010
   -1.62   -11.46    25.64        -1.59   -11.66    25.68     0.210
  -17.84     7.00   -13.03       -17.87     7.09   -12.99     0.103
   17.83     9.95    53.18        17.83     9.95    53.15     0.036
   -2.73    24.32    30.87        -2.75    24.47    30.88     0.152
   15.21    29.19    -3.43        15.20    29.06    -3.41     0.128
  -23.37   -22.68   -42.67       -23.37   -22.72   -42.71     0.055
  -13.95   -22.32    -9.66       -13.94   -22.32    -9.64     0.031
   40.85     0.50     1.91        40.82     0.53     1.92     0.044
    1.61    20.92    51.40         1.62    20.86    51.40     0.063
   32.69    -7.78    12.22        32.61    -7.63    12.15     0.183
   -9.83   -15.08    -1.21        -9.82   -15.03    -1.23     0.058
   30.38    22.86    -0.39        30.43    22.92    -0.39     0.082
   19.17   -14.80     3.11        19.19   -14.86     3.16     0.081
   13.63    -6.73    42.00        13.68    -6.84    42.02     0.126
  -39.26   -18.60   -14.70       -39.32   -18.63   -14.67     0.077
   -6.95    10.02    48.05        -6.87    10.04    48.05     0.083
  -38.35   -22.89   -24.65       -38.37   -22.90   -24.65     0.019
   -3.48   -22.95   -24.66        -3.43   -22.98   -24.65     0.060
   40.74     1.77    -5.28        40.80     1.77    -5.30     0.056
   33.86    -4.81   -14.28        33.92    -4.84   -14.29     0.072
  -24.94    10.00   -17.23       -24.93     9.95   -17.24     0.049
   10.48   -15.41     3.62        10.50   -15.24     3.59     0.179
   -0.72   -13.53   -33.58        -0.73   -13.53   -33.57     0.010
   -7.02    22.75    24.59        -6.99    22.71    24.60     0.047
    0.73    22.29    46.68         0.74    22.20    46.67     0.099
  -13.29     2.57    13.16       -13.45     2.62    13.20     0.177
   -8.35    17.91    15.35        -8.31    17.89    15.37     0.054
   10.33    28.75     6.34        10.33    28.75     6.34     0.002
   22.95    -0.33   -25.32        22.94    -0.35   -25.33     0.026
   26.19   -13.86     1.75        26.19   -13.91     1.79     0.060
  -19.44    11.60   -29.88       -19.44    11.61   -29.88     0.006
   23.82     9.16    41.97        23.90     9.15    41.99     0.083
  -32.44     7.77   -16.18       -32.39     7.68   -16.22     0.112
  -33.75   -27.09   -31.63       -33.71   -27.05   -31.62     0.059
  -11.52   -27.24   -36.09       -11.54   -27.22   -36.07     0.031
  -13.27    11.27    36.47       -13.23    11.28    36.46     0.042
  -14.10     9.19   -17.52       -14.10     9.11   -17.51     0.079
   37.10    14.43    -6.11        37.14    14.44    -6.11     0.042
  -32.52   -28.79   -19.83       -32.50   -28.75   -19.84     0.041
    8.51    29.03     4.46         8.51    28.94     4.46     0.084
   21.90     1.53    42.26        21.76     1.58    42.22     0.157
  -31.23     7.24   -34.76       -31.26     7.30   -34.78     0.074
   -4.57   -24.20   -22.62        -4.49   -24.23   -22.60     0.088
  -12.08   -23.45   -11.48       -12.12   -23.44   -11.50     0.047
  -29.83     8.08   -34.33       -29.83     8.09   -34.33     0.011
   40.29     8.66     6.31        40.30     8.66     6.31     0.009
  -11.76    20.70    24.77       -11.67    20.60    24.84     0.154
    0.36    10.51   -14.41         0.36    10.48   -14.39     0.037
   13.27    20.30   -22.62        13.22    20.29   -22.61     0.045
    0.34     5.17   -20.55         0.32     5.14   -20.52     0.041
