150 PA5-A-Debug-Output.txt 6
   19.2771  102.3913   84.3195   38.2804  -85.9921  -29.7252
  -36.42     0.46   -41.01       -36.42     0.46   -41.01     0.000
  -26.17    -9.11   -51.31       -26.17    -9.11   -51.31     0.000
  -19.70     2.77   -12.12       -19.70     2.77   -12.12     0.000
   -4.06     1.33   -24.77        -4.06     1.33   -24.77     0.000
    8.47    -5.95    17.75         8.47    -5.95    17.75     0.000
    3.11    -3.78    49.42         3.11    -3.78    49.42     0.000
  -20.38    -0.57    -7.95       -20.38    -0.57    -7.95     0.000
   24.41    20.07   -10.21        24.41    20.07   -10.21     0.000
   -5.27     1.62    49.67        -5.27     1.62    49.67     0.000
   -5.50     2.13   -35.92        -5.50     2.13   -35.92     0.000
   23.70    14.17    30.09        23.70    14.17    30.09     0.000
   13.58     7.91   -19.69        13.58     7.91   -19.69     0.000
   -8.34   -20.97   -10.32        -8.34   -20.97   -10.32     0.000
   12.40    -5.01    52.89        12.40    -5.01    52.89     0.000
   19.64    17.74    38.29        19.64    17.74    38.29     0.000
   10.75    21.41   -17.10        10.75    21.41   -17.10     0.000
   33.24    -2.04    12.57        33.24    -2.04    12.57     0.000
  -24.33    -4.64   -49.73       -24.33    -4.64   -49.73     0.000
   22.74    14.36    34.86        22.74    14.36    34.86     0.000
  -19.81   -16.78   -50.49       -19.81   -16.78   -50.49     0.000
  -12.10     3.10    12.86       -12.10     3.10    12.86     0.000
  -37.96   -16.62   -16.83       -37.96   -16.62   -16.83     0.000
  -17.77   -28.55   -17.34       -17.77   -28.55   -17.34     0.000
   22.97    -4.42    27.32        22.97    -4.42    27.32     0.000
    4.80     0.96   -19.29         4.80     0.96   -19.29     0.000
   14.96     6.24   -21.97        14.96     6.24   -21.97     0.000
  -16.47   -12.37   -50.82       -16.47   -12.37   -50.82     0.000
  -11.21     7.90   -34.85       -11.21     7.90   -34.85     0.000
   -2.08    13.28    55.06        -2.08    13.28    55.06     0.000
   -5.55     7.32    55.92        -5.55     7.32    55.92     0.000
   14.35   -14.19    -2.15        14.35   -14.19    -2.15     0.000
  -24.85    -0.85   -13.43       -24.85    -0.85   -13.43     0.000
  -20.12    -0.36    -7.73       -20.12    -0.36    -7.73     0.000
   31.21     8.77   -19.99        31.21     8.77   -19.99     0.000
  -23.52     5.11   -44.23       -23.52     5.11   -44.23     0.000
  -15.74    19.10    27.23       -15.74    19.10    27.23     0.000
  -33.12     3.18   -41.56       -33.12     3.18   -41.56     0.000
  -14.58    18.16    27.48       -14.58    18.16    27.48     0.000
   -7.34    14.14     7.52        -7.34    14.14     7.52     0.000
  -40.13   -22.33   -27.32       -40.13   -22.33   -27.32     0.000
   24.77     6.87    58.62        24.77     6.87    58.62     0.000
  -36.94    -3.72   -42.86       -36.94    -3.72   -42.86     0.000
   28.83    17.95     0.75        28.83    17.95     0.75     0.000
