150 PA5-C-Debug-Answer.txt 6
  -76.9110  140.4969   90.7141  163.7973  -11.9790   30.7307
  -28.71   -27.78   -38.37       -28.71   -27.78   -38.37     0.000
   -0.80    -1.69   -23.49        -0.80    -1.69   -23.49     0.000
   32.80    14.13    11.57        32.80    14.13    11.57     0.000
   25.06     8.72    60.46        25.06     8.72    60.46     0.000
  -22.19   -10.04   -52.14       -22.19   -10.04   -52.14     0.000
  -26.48    -4.83   -12.39       -26.48    -4.83   -12.39     0.000
   -9.60     5.07   -23.26        -9.60     5.07   -23.26     0.000
   -5.76   -21.65   -28.17        -5.76   -21.65   -28.17     0.000
   -5.54    -7.50   -48.97        -5.54    -7.50   -48.97     0.000
   -4.02     6.72   -10.51        -4.02     6.72   -10.51     0.000
  -18.28    17.31    29.22       -18.28    17.31    29.22     0.000
  -23.69   -26.21   -44.05       -23.69   -26.21   -44.05     0.000
   -8.02   -24.48   -28.51        -8.02   -24.48   -28.51     0.000
    7.55    -4.19    53.73         7.55    -4.19    53.73     0.000
   19.65     0.11   -22.86        19.65     0.11   -22.86     0.000
  -33.29   -26.45   -35.93       -33.29   -26.45   -35.93     0.000
   19.01     4.37   -24.90        19.01     4.37   -24.90     0.000
  -42.72    -6.65   -31.69       -42.72    -6.65   -31.69     0.000
   -2.67   -17.51   -32.07        -2.67   -17.51   -32.07     0.000
   35.62     2.47    22.29        35.62     2.47    22.29     0.000
   28.41     3.77    60.51        28.41     3.77    60.51     0.000
   33.35     5.95    29.27        33.35     5.95    29.27     0.000
  -24.70   -29.84   -28.56       -24.70   -29.84   -28.56     0.000
  -33.24    -0.47   -21.00       -33.24    -0.47   -21.00     0.000
  -29.75   -13.86   -49.67       -29.75   -13.86   -49.67     0.000
    5.76    19.04    -6.56         5.76    19.04    -6.56     0.000
   29.09    11.81    53.18        29.09    11.81    53.18     0.000
  -16.87   -12.39   -50.90       -16.87   -12.39   -50.90     0.000
    8.28    23.92    24.51         8.28    23.92    24.51     0.000
   -9.35     4.58    26.23        -9.35     4.58    26.23     0.000
   29.45    -1.83    42.34        29.45    -1.83    42.34     0.000
   12.53   -13.81    -5.31        12.53   -13.81    -5.31     0.000
  -15.88     6.57     9.78       -15.88     6.57     9.78     0.000
  -37.70     2.56   -31.63       -37.70     2.56   -31.63     0.000
   17.62     2.93   -24.15        17.62     2.93   -24.15     0.000
    3.42    -5.98   -23.08         3.42    -5.98   -23.08     0.000
   -8.59   -24.66   -40.40        -8.59   -24.66   -40.40     0.000
   -1.61    13.21    59.75        -1.61    13.21    59.75     0.000
  -42.64   -15.57   -36.39       -42.64   -15.57   -36.39     0.000
   15.75    23.81    42.07        15.75    23.81    42.07     0.000
  -26.99     7.83   -38.86       -26.99     7.83   -38.86     0.000
   -5.97    10.05    38.84        -5.97    10.05    38.84     0.000
   16.83   -12.77    -4.16        16.83   -12.77    -4.16     0.000
    9.24     0.74    61.38         9.24     0.74    61.38     0.000
  -39.77    -0.10   -33.41       -39.77    -0.10   -33.41     0.000
   35.75     9.74    11.59        35.75     9.74    11.59     0.000
   -7.13    -6.58    25.37        -7.13    -6.58    25.37     0.000
  -11.86   -13.03    -5.02       -11.86   -13.03    -5.02     0.000
    5.47    -3.62    55.67         5.47    -3.62    55.67     0.000
   34.74    -0.37    26.80        34.74    -0.37    26.80     0.000
  -19.45     8.02   -34.34       -19.45     8.02   -34.34     0.000
  -25.65   -29.89   -32.15       -25.65   -29.89   -32.15     0.000
  -10.15   -26.07   -29.46       -10.15   -26.07   -29.46     0.000
   -3.72     9.85    59.77        -3.72     9.85    59.77     0.000
   38.57     3.91    12.18        38.57     3.91    12.18     0.000
   20.09    -3.95    59.21        20.09    -3.95    59.21     0.000
    1.02    -2.07    54.54         1.02    -2.07    54.54     0.000
   32.41     2.92    40.79        32.41     2.92    40.79     0.000
    6.34    12.04   -10.71         6.34    12.04   -10.71     0.000
  -14.49     5.26   -11.77       -14.49     5.26   -11.77     0.000
  -12.96    25.82    26.12       -12.96    25.82    26.12     0.000
   29.55     3.84    54.51        29.55     3.84    54.51     0.000
   31.77     2.21    42.60        31.77     2.21    42.60     0.000
    0.19    -0.93    56.09         0.19    -0.93    56.09     0.000
   -2.88     0.11   -23.43        -2.88     0.11   -23.43     0.000
    1.43    -1.65   -21.48         1.43    -1.65   -21.48     0.000
   13.78    12.45   -24.75        13.78    12.45   -24.75     0.000
   15.01    22.89     5.74        15.01    22.89     5.74     0.000
  -24.39     5.71   -20.26       -24.39     5.71   -20.26     0.000
  -29.66     7.89   -25.07       -29.66     7.89   -25.07     0.000
   27.34     9.85    59.91        27.34     9.85    59.91     0.000
   15.99    19.10   -14.79        15.99    19.10   -14.79     0.000
   23.42    -3.15    59.57        23.42    -3.15    59.57     0.000
  -32.66    -0.41   -20.73       -32.66    -0.41   -20.73     0.000
  -24.75   -18.46   -14.30       -24.75   -18.46   -14.30     0.000
   -2.14    -2.41   -34.60        -2.14    -2.41   -34.60     0.000
   28.16    14.75    -8.62        28.16    14.75    -8.62     0.000
  -14.91     9.73    17.80       -14.91     9.73    17.80     0.000
  -10.12    24.91    24.45       -10.12    24.91    24.45     0.000
  -13.19     6.10   -17.52       -13.19     6.10   -17.52     0.000
   27.98    16.86     0.88        27.98    16.86     0.88     0.000
   12.03    12.67   -25.24        12.03    12.67   -25.24     0.000
    3.75    -3.48    52.39         3.75    -3.48    52.39     0.000
   24.87    10.14   -20.18        24.87    10.14   -20.18     0.000
   30.86    -0.20    42.28        30.86    -0.20    42.28     0.000
   -0.53   -10.99   -35.81        -0.53   -10.99   -35.81     0.000
  -14.82     5.79    -2.84       -14.82     5.79    -2.84     0.000
   20.99    21.82    10.74        20.99    21.82    10.74     0.000
   32.75     4.70    -8.96        32.75     4.70    -8.96     0.000
  -34.60    -9.25   -18.24       -34.60    -9.25   -18.24     0.000
   31.88    -3.21    27.87        31.88    -3.21    27.87     0.000
  -30.38   -10.99   -14.48       -30.38   -10.99   -14.48     0.000
   17.66    -1.93   -16.08        17.66    -1.93   -16.08     0.000
    7.83    -4.15   -17.35         7.83    -4.15   -17.35     0.000
   30.08    -9.50    -6.06        30.08    -9.50    -6.06     0.000
   13.87    -9.35   -15.70        13.87    -9.35   -15.70     0.000
   15.27     8.39   -27.11        15.27     8.39   -27.11     0.000
   27.22    -7.69   -18.74        27.22    -7.69   -18.74     0.000
   11.14    24.33    15.87        11.14    24.33    15.87     0.000
   -3.67    -4.08   -44.23        -3.67    -4.08   -44.23     0.000
  -11.05   -25.03   -40.04       -11.05   -25.03   -40.04     0.000
  -17.93    20.28    25.71       -17.93    20.28    25.71     0.000
  -40.56   -11.87   -25.56       -40.56   -11.87   -25.56     0.000
   34.38    -1.22    27.44        34.38    -1.22    27.44     0.000
  -31.26   -14.10   -15.20       -31.26   -14.10   -15.20     0.000
   30.67     3.35    48.78        30.67     3.35    48.78     0.000
  -32.05   -23.60   -20.48       -32.05   -23.60   -20.48     0.000
  -26.47    -5.89   -50.39       -26.47    -5.89   -50.39     0.000
  -37.53    -0.45   -39.54       -37.53    -0.45   -39.54     0.000
   -0.85   -12.86     7.61        -0.85   -12.86     7.61     0.000
    7.31    22.53    58.78         7.31    22.53    58.78     0.000
   31.61    -1.65    34.26        31.61    -1.65    34.26     0.000
    3.74    -3.02    58.13         3.74    -3.02    58.13     0.000
  -43.25   -13.39   -36.16       -43.25   -13.39   -36.16     0.000
