150 PA5-D-Debug-Output.txt 6
   18.3775   72.8566   97.3554   -6.3217   12.6042   97.8816
   16.66    20.35    47.15        16.66    20.35    47.15     0.000
  -14.20     5.53   -26.45       -14.20     5.53   -26.45     0.000
  -10.18   -28.59   -30.02       -10.18   -28.59   -30.02     0.000
   23.09    21.56   -21.62        23.09    21.56   -21.62     0.000
  -20.98     4.34   -20.53       -20.98     4.34   -20.53     0.000
   -1.55   -15.57   -15.49        -1.55   -15.57   -15.49     0.000
   -3.62     6.56    49.07        -3.62     6.56    49.07     0.000
  -23.70    -3.98   -46.72       -23.70    -3.98   -46.72     0.000
  -14.31     5.41   -28.25       -14.31     5.41   -28.25     0.000
  -26.35   -20.29   -10.58       -26.35   -20.29   -10.58     0.000
   21.04    22.05   -22.27        21.04    22.05   -22.27     0.000
   21.82    14.05    62.13        21.82    14.05    62.13     0.000
   34.31     7.88   -12.61        34.31     7.88   -12.61     0.000
   -4.28   -13.27    -4.39        -4.28   -13.27    -4.39     0.000
   38.36     1.58    12.31        38.36     1.58    12.31     0.000
   28.34    -4.55    22.23        28.34    -4.55    22.23     0.000
  -42.14   -16.48   -21.19       -42.14   -16.48   -21.19     0.000
  -18.80     6.00   -25.98       -18.80     6.00   -25.98     0.000
  -15.24     2.55   -40.60       -15.24     2.55   -40.60     0.000
   25.19    20.69   -21.07        25.19    20.69   -21.07     0.000
  -12.09     0.98   -39.86       -12.09     0.98   -39.86     0.000
   14.88    17.29   -22.66        14.88    17.29   -22.66     0.000
   16.75    18.06    58.11        16.75    18.06    58.11     0.000
   -6.49    13.03    27.39        -6.49    13.03    27.39     0.000
    9.83   -13.99    -5.81         9.83   -13.99    -5.81     0.000
   38.48     0.40    -2.06        38.48     0.40    -2.06     0.000
  -32.91   -25.02   -41.13       -32.91   -25.02   -41.13     0.000
   26.22    -0.43    31.15        26.22    -0.43    31.15     0.000
   -8.83    -4.03    20.70        -8.83    -4.03    20.70     0.000
   16.13    -4.88    16.53        16.13    -4.88    16.53     0.000
  -10.05     4.81   -24.12       -10.05     4.81   -24.12     0.000
  -37.65   -23.81   -20.62       -37.65   -23.81   -20.62     0.000
    4.96    12.76    66.00         4.96    12.76    66.00     0.000
   23.16    21.09   -22.22        23.16    21.09   -22.22     0.000
    1.75    18.66    47.76         1.75    18.66    47.76     0.000
   24.16     5.90    53.66        24.16     5.90    53.66     0.000
    4.65    22.96    34.92         4.65    22.96    34.92     0.000
   38.74     6.65     2.84        38.74     6.65     2.84     0.000
  -12.22     1.48     5.70       -12.22     1.48     5.70     0.000
   23.93    22.86    -6.06        23.93    22.86    -6.06     0.000
   -4.51    25.77    17.74        -4.51    25.77    17.74     0.000
   -1.52    25.75    17.77        -1.52    25.75    17.77     0.000
   26.73    20.34   -20.04        26.73    20.34   -20.04     0.000
   16.55    20.44    46.99        16.55    20.44    46.99     0.000
    2.14    25.78    24.71         2.14    25.78    24.71     0.000
   20.75    17.94   -27.10        20.75    17.94   -27.10     0.000
   -5.32    19.22    32.84        -5.32    19.22    32.84     0.000
   38.50     1.64    11.85        38.50     1.64    11.85     0.000
   28.87    -6.90    18.47        28.87    -6.90    18.47     0.000
   24.46    11.27    48.16        24.46    11.27    48.16     0.000
   -3.65     5.94    62.73        -3.65     5.94    62.73     0.000
   28.59    20.10   -10.95        28.59    20.10   -10.95     0.000
  -12.61     2.55     1.54       -12.61     2.55     1.54     0.000
   32.29    11.76   -15.66        32.29    11.76   -15.66     0.000
   24.55    -4.59   -22.81        24.55    -4.59   -22.81     0.000
  -40.07   -23.73   -33.92       -40.07   -23.73   -33.92     0.000
   16.62    20.19   -22.26        16.62    20.19   -22.26     0.000
  -10.24    -7.73    12.12       -10.24    -7.73    12.12     0.000
   -3.25   -13.81   -29.18        -3.25   -13.81   -29.18     0.000
  -31.02    -9.39   -11.64       -31.02    -9.39   -11.64     0.000
  -19.98   -22.67   -12.39       -19.98   -22.67   -12.39     0.000
   -4.19     3.48    57.84        -4.19     3.48    57.84     0.000
   -8.73    23.88    20.17        -8.73    23.88    20.17     0.000
   -5.24     3.31   -24.86        -5.24     3.31   -24.86     0.000
   19.43    22.30   -19.76        19.43    22.30   -19.76     0.000
   -8.08   -25.99   -36.77        -8.08   -25.99   -36.77     0.000
   23.10    22.75   -10.57        23.10    22.75   -10.57     0.000
  -10.38    18.49    24.35       -10.38    18.49    24.35     0.000
   14.15    23.31   -10.68        14.15    23.31   -10.68     0.000
   -9.63   -22.20   -41.70        -9.63   -22.20   -41.70     0.000
   25.73    13.73    35.58        25.73    13.73    35.58     0.000
   -8.63     5.85   -20.30        -8.63     5.85   -20.30     0.000
   19.20     7.45   -26.44        19.20     7.45   -26.44     0.000
   35.99     3.00    13.99        35.99     3.00    13.99     0.000
  -25.72    -0.27   -17.29       -25.72    -0.27   -17.29     0.000
   -5.63   -17.26   -40.06        -5.63   -17.26   -40.06     0.000
   13.15   -14.40    -7.90        13.15   -14.40    -7.90     0.000
   -1.17    -6.00    61.00        -1.17    -6.00    61.00     0.000
   12.74    -4.21    28.18        12.74    -4.21    28.18     0.000
    3.02    -2.51   -23.12         3.02    -2.51   -23.12     0.000
   22.69    23.45    -5.46        22.69    23.45    -5.46     0.000
   33.56     8.65    15.12        33.56     8.65    15.12     0.000
   -7.99    -8.81    19.81        -7.99    -8.81    19.81     0.000
   -6.11     8.44     5.96        -6.11     8.44     5.96     0.000
  -19.24    -7.80    -3.77       -19.24    -7.80    -3.77     0.000
  -15.38   -27.65   -19.63       -15.38   -27.65   -19.63     0.000
   35.39    15.38     5.49        35.39    15.38     5.49     0.000
   -3.09    -4.71   -29.63        -3.09    -4.71   -29.63     0.000
   12.08    20.73    48.73        12.08    20.73    48.73     0.000
   26.10     2.90    38.72        26.10     2.90    38.72     0.000
  -25.04    -8.65    -8.93       -25.04    -8.65    -8.93     0.000
    0.83     0.59   -23.48         0.83     0.59   -23.48     0.000
   -5.45    17.11    33.82        -5.45    17.11    33.82     0.000
   30.89    14.43   -19.37        30.89    14.43   -19.37     0.000
   30.94    -1.09    23.10        30.94    -1.09    23.10     0.000
   29.84    13.80    18.54        29.84    13.80    18.54     0.000
  -15.48     5.22   -31.84       -15.48     5.22   -31.84     0.000
   -1.50    -4.31   -27.28        -1.50    -4.31   -27.28     0.000
   -3.73     6.07    46.71        -3.73     6.07    46.71     0.000
   37.28    10.69     6.94        37.28    10.69     6.94     0.000
    9.98    24.79    17.66         9.98    24.79    17.66     0.000
   -5.88   -19.20   -38.53        -5.88   -19.20   -38.53     0.000
   -1.06    -3.58    66.39        -1.06    -3.58    66.39     0.000
   30.73    18.33   -10.38        30.73    18.33   -10.38     0.000
   11.49    24.40    17.75        11.49    24.40    17.75     0.000
   26.98    22.01     4.99        26.98    22.01     4.99     0.000
  -41.77    -5.06   -36.11       -41.77    -5.06   -36.11     0.000
   16.16    18.46    63.66        16.16    18.46    63.66     0.000
   -5.81   -11.28    15.30        -5.81   -11.28    15.30     0.000
   -8.13    -0.77    23.82        -8.13    -0.77    23.82     0.000
   12.63    22.40    29.68        12.63    22.40    29.68     0.000
    9.20    -5.33    65.80         9.20    -5.33    65.80     0.000
    1.06     8.03    66.90         1.06     8.03    66.90     0.000
   -7.76    15.61    30.31        -7.76    15.61    30.31     0.000
   13.40   -13.87    -3.68        13.40   -13.87    -3.68     0.000
  -24.12   -10.14   -48.99       -24.12   -10.14   -48.99     0.000
   16.94     9.80   -24.63        16.94     9.80   -24.63     0.000
   33.56     0.68    18.94        33.56     0.68    18.94     0.000
   -3.42    13.95     9.35        -3.42    13.95     9.35     0.000
  -10.76    -4.76    13.04       -10.76    -4.76    13.04     0.000
   -4.55   -18.42   -25.38        -4.55   -18.42   -25.38     0.000
   -7.27   -25.72   -33.61        -7.27   -25.72   -33.61     0.000
   -9.77    20.61    24.95        -9.77    20.61    24.95     0.000
   -8.11     6.68     8.20        -8.11     6.68     8.20     0.000
   -8.00    -4.68    32.57        -8.00    -4.68    32.57     0.000
   26.29     3.45    38.90        26.29     3.45    38.90     0.000
  -33.49   -15.12   -11.94       -33.49   -15.12   -11.94     0.000
    6.49    -6.66    19.70         6.49    -6.66    19.70     0.000
   15.27    21.87    38.55        15.27    21.87    38.55     0.000
   14.73    19.28    55.52        14.73    19.28    55.52     0.000
    1.54    14.99    64.53         1.54    14.99    64.53     0.000
   -5.67     0.02   -30.43        -5.67     0.02   -30.43     0.000
   30.14    14.71   -21.99        30.14    14.71   -21.99     0.000
    0.95    -4.44    66.50         0.95    -4.44    66.50     0.000
   -3.05    15.47    38.91        -3.05    15.47    38.91     0.000
   -3.69   -14.86   -31.72        -3.69   -14.86   -31.72     0.000
   15.05    24.23    -8.48        15.05    24.23    -8.48     0.000
  -15.36   -29.91   -35.46       -15.36   -29.91   -35.46     0.000
  -25.38   -30.06   -19.84       -25.38   -30.06   -19.84     0.000
   15.75    17.89   -25.75        15.75    17.89   -25.75     0.000
   32.06    10.82   -18.04        32.06    10.82   -18.04     0.000
    3.08    -6.70    52.35         3.08    -6.70    52.35     0.000
  -40.78   -13.68   -17.81       -40.78   -13.68   -17.81     0.000
  -29.73     6.38   -21.26       -29.73     6.38   -21.26     0.000
    7.12    22.52    34.37         7.12    22.52    34.37     0.000
   -1.91   -10.28    16.69        -1.91   -10.28    16.69     0.000
  -35.43   -11.97   -45.39       -35.43   -11.97   -45.39     0.000
   -2.06    11.17    62.43        -2.06    11.17    62.43     0.000
   34.03     0.82   -19.05        34.03     0.82   -19.05     0.000
   -4.09    -3.33    52.08        -4.09    -3.33    52.08     0.000
